short_name,month,quantity_tons,product
HMC,September,144.4,Cobalt
HMC,November,12,Cobalt
HMC,December,168.4,Cobalt
HMC,January,3793.3,Copper
HMC,February,2041.2,Copper
HMC,March,2814.7,Copper
HMC,April,2462.8,Copper
HMC,May,2400.3,Copper
HMC,June,2005.1,Copper
HMC,July,2039.5,Copper
HMC,August,2383.3,Copper
HMC,September,3452.2,Copper
HMC,October,4185,Copper
HMC,November,2291.8,Copper
HMC,December,2040,Copper
HUACHIN METAL LEACH,January,53.3,Cobalt
HUACHIN METAL LEACH,March,104.2,Cobalt
HUACHIN METAL LEACH,June,79.2,Cobalt
HUACHIN METAL LEACH,November,25.2,Cobalt
HUACHIN METAL LEACH,December,73.4,Cobalt
HUACHIN METAL LEACH,January,1421.8,Copper
HUACHIN METAL LEACH,February,1996.6,Copper
HUACHIN METAL LEACH,March,2410.2,Copper
HUACHIN METAL LEACH,April,1651.3,Copper
HUACHIN METAL LEACH,May,2588.9,Copper
HUACHIN METAL LEACH,June,836.7,Copper
HUACHIN METAL LEACH,July,1450.7,Copper
HUACHIN METAL LEACH,August,1742.5,Copper
HUACHIN METAL LEACH,September,2264,Copper
HUACHIN METAL LEACH,October,2142.5,Copper
HUACHIN METAL LEACH,November,1353.9,Copper
HUACHIN METAL LEACH,December,1317.4,Copper
JXCOM SARL,September,56.3,Copper
JXCOM SARL,October,1023.6,Copper
JXCOM SARL,November,309.5,Copper
JXCOM SARL,December,576.3,Copper
KAIPENG,January,10,Cobalt
KAIPENG,January,4363.5,Copper
KAIPENG,February,3244.9,Copper
KAIPENG,March,4256.3,Copper
KAIPENG,April,4455.4,Copper
KAIPENG,May,4595.5,Copper
KAIPENG,June,4219.5,Copper
KAIPENG,July,3804.5,Copper
KAIPENG,August,2875,Copper
KAIPENG,September,5972,Copper
KAIPENG,October,4403.1,Copper
KAIPENG,November,3589,Copper
KAIPENG,December,2943.9,Copper
KALONGWE,July,425.9,Cobalt
KALONGWE,August,365.7,Cobalt
KALONGWE,September,683.5,Cobalt
KALONGWE,October,379.8,Cobalt
KALONGWE,November,809.8,Cobalt
KALONGWE,December,264.7,Cobalt
KALONGWE,April,96.7,Copper
KALONGWE,May,4812,Copper
KALONGWE,June,5222.5,Copper
KALONGWE,July,4110.8,Copper
KALONGWE,August,2688.6,Copper
KALONGWE,September,5569.8,Copper
KALONGWE,October,4179.4,Copper
KALONGWE,November,4552.9,Copper
KALONGWE,December,4576.3,Copper
KAMBOVE MINING SAS,July,123.9,Cobalt
KAMBOVE MINING SAS,August,119.6,Cobalt
KAMBOVE MINING SAS,September,25.9,Cobalt
KAMBOVE MINING SAS,October,272,Cobalt
KAMBOVE MINING SAS,November,111.1,Cobalt
KAMBOVE MINING SAS,December,248.6,Cobalt
KAMBOVE MINING SAS,March,5878.6,Copper
KAMBOVE MINING SAS,April,3176.8,Copper
KAMBOVE MINING SAS,May,3071.3,Copper
KAMBOVE MINING SAS,June,3434.2,Copper
KAMBOVE MINING SAS,July,2375.3,Copper
KAMBOVE MINING SAS,August,1174,Copper
KAMBOVE MINING SAS,September,6669.7,Copper
KAMBOVE MINING SAS,October,2338.6,Copper
KAMBOVE MINING SAS,November,2157.8,Copper
KAMBOVE MINING SAS,December,2586.1,Copper
KAMOA,January,39491.1,Copper
KAMOA,February,30557,Copper
KAMOA,March,36243.8,Copper
KAMOA,April,36250.1,Copper
KAMOA,May,41435,Copper
KAMOA,June,40287.1,Copper
KAMOA,July,30664.2,Copper
KAMOA,August,39216.2,Copper
KAMOA,September,28967.7,Copper
